run_id,transmission_ts,hop,node_id,energy,dist_to_sink,reputation,anomaly_count,suspicious_count,neighbor_count,is_malicious
1,1759966979,0,0,119.40579176541345,92.19544457292888,1.0,1,0,2,False
1,1759966979,0,1,119.0180773502204,75.0,1.0,1,0,4,False
1,1759966979,0,2,146.1881045745353,6.4031242374328485,1.0,1,0,6,False
1,1759966979,0,3,147.54383217326995,64.03124237432849,1.0,1,0,6,False
1,1759966979,0,4,132.22365118634883,39.05124837953327,1.0,1,0,8,False
1,1759966979,0,5,145.88277700253343,71.7007670809734,1.0,1,0,5,False
1,1759966979,0,6,122.71406310934685,22.360679774997898,1.0,1,0,9,False
1,1759966979,0,7,116.9914541880895,60.0,1.0,1,0,4,False
1,1759966979,0,8,134.90499642186973,41.23105625617661,1.0,1,0,5,False
1,1759966979,0,9,114.21783299689231,42.941821107167776,1.0,1,0,8,False
1,1759966979,0,10,121.32030203892835,60.41522986797286,1.0,1,0,6,False
1,1759966979,0,11,131.67523324587052,47.43416490252569,1.0,1,0,3,False
1,1759966979,0,12,133.92292946954097,65.62011886609167,1.0,1,0,3,False
1,1759966979,0,13,145.25146802311275,44.553338819890925,1.0,1,0,8,False
1,1759966979,0,14,116.73299293519402,15.811388300841896,1.0,1,0,6,False
1,1759966979,0,15,116.51684704914598,55.226805085936306,1.0,1,0,5,False
1,1759966979,0,16,115.82645978746973,30.4138126514911,1.0,1,0,6,False
1,1759966979,0,17,117.82774946509039,18.027756377319946,1.0,1,0,9,True
1,1759966979,0,18,137.18612341209723,20.615528128088304,1.0,1,0,5,False
1,1759966979,0,19,106.23453798048837,10.0,1.0,1,0,4,False
1,1759966979,0,sink,,0.0,,,,6,False
1,1759966979,1,0,109.40579176541345,92.19544457292888,1.0,1,0,2,False
1,1759966979,1,1,119.0180773502204,75.0,1.0,1,0,4,False
1,1759966979,1,2,146.1881045745353,6.4031242374328485,1.0,1,0,6,False
1,1759966979,1,3,147.54383217326995,64.03124237432849,1.0,1,0,6,False
1,1759966979,1,4,132.22365118634883,39.05124837953327,1.0,1,0,8,False
1,1759966979,1,5,145.88277700253343,71.7007670809734,1.0,1,0,5,False
1,1759966979,1,6,122.71406310934685,22.360679774997898,1.0,1,0,9,False
1,1759966979,1,7,116.9914541880895,60.0,1.0,1,0,4,False
1,1759966979,1,8,134.90499642186973,41.23105625617661,1.0,1,0,5,False
1,1759966979,1,9,114.21783299689231,42.941821107167776,1.0,1,0,8,False
1,1759966979,1,10,121.32030203892835,60.41522986797286,1.0,1,0,6,False
1,1759966979,1,11,131.67523324587052,47.43416490252569,1.0,1,0,3,False
